"(0, 249)"
"(3, 707)"
"(4, 309)"
"(8, 119)"
"(11, 266)"
"(12, 628)"
"(13, 171)"
"(16, 455)"
"(20, 195)"
"(22, 517)"
"(25, 475)"
"(26, 471)"
"(27, 675)"
"(29, 674)"
"(31, 348)"
"(33, 344)"
"(34, 258)"
"(37, 149)"
"(38, 434)"
"(46, 391)"
"(48, 657)"
"(54, 536)"
"(55, 175)"
"(60, 710)"
"(61, 720)"
"(62, 302)"
"(63, 371)"
"(67, 697)"
"(69, 672)"
"(70, 644)"
"(72, 719)"
"(76, 484)"
"(77, 346)"
"(79, 245)"
"(80, 131)"
"(81, 486)"
"(83, 37)"
"(84, 427)"
"(87, 222)"
"(88, 54)"
"(89, 107)"
"(90, 173)"
"(91, 505)"
"(93, 307)"
"(95, 332)"
"(97, 246)"
"(98, 609)"
"(99, 67)"
"(100, 459)"
"(101, 411)"
"(106, 317)"
"(107, 600)"
"(108, 163)"
"(113, 713)"
"(114, 113)"
"(118, 671)"
"(119, 114)"
"(120, 398)"
"(125, 353)"
"(127, 379)"
"(130, 72)"
"(131, 678)"
"(135, 191)"
"(137, 33)"
"(141, 705)"
"(142, 80)"
"(146, 703)"
"(147, 177)"
"(148, 229)"
"(149, 262)"
"(153, 199)"
"(154, 526)"
"(157, 594)"
"(158, 194)"
"(162, 694)"
"(163, 685)"
"(164, 99)"
"(166, 228)"
"(171, 237)"
"(173, 308)"
"(175, 680)"
"(176, 673)"
"(177, 291)"
"(179, 702)"
"(181, 636)"
"(183, 310)"
"(184, 612)"
"(185, 183)"
"(188, 617)"
"(189, 146)"
"(191, 550)"
"(192, 420)"
"(194, 717)"
"(195, 508)"
"(197, 84)"
"(198, 711)"
"(199, 363)"
"(202, 510)"
"(207, 529)"
"(209, 639)"
"(210, 650)"
"(212, 714)"
"(216, 533)"
"(217, 181)"
"(219, 351)"
"(221, 90)"
"(222, 352)"
"(224, 375)"
"(226, 572)"
"(227, 546)"
"(228, 366)"
"(229, 299)"
"(231, 472)"
"(232, 591)"
"(234, 154)"
"(235, 661)"
"(237, 424)"
"(238, 267)"
"(243, 582)"
"(245, 452)"
"(246, 271)"
"(248, 641)"
"(249, 227)"
"(252, 706)"
"(257, 226)"
"(258, 624)"
"(259, 606)"
"(260, 137)"
"(262, 327)"
"(264, 4)"
"(266, 3)"
"(267, 153)"
"(271, 699)"
"(273, 482)"
"(280, 334)"
"(289, 543)"
"(290, 390)"
"(291, 0)"
"(295, 207)"
"(297, 100)"
"(299, 321)"
"(301, 571)"
"(302, 26)"
"(303, 525)"
"(307, 708)"
"(308, 413)"
"(309, 166)"
"(310, 462)"
"(314, 147)"
"(315, 468)"
"(317, 179)"
"(318, 688)"
"(321, 148)"
"(322, 46)"
"(327, 202)"
"(329, 303)"
"(332, 273)"
"(334, 25)"
"(336, 438)"
"(337, 626)"
"(341, 106)"
"(344, 630)"
"(346, 297)"
"(348, 341)"
"(351, 98)"
"(352, 658)"
"(353, 130)"
"(355, 370)"
"(356, 318)"
"(357, 541)"
"(361, 575)"
"(363, 412)"
"(366, 405)"
"(367, 619)"
"(370, 503)"
"(371, 315)"
"(375, 189)"
"(377, 29)"
"(379, 660)"
"(380, 243)"
"(381, 549)"
"(390, 8)"
"(391, 542)"
"(393, 524)"
"(396, 264)"
"(398, 20)"
"(399, 544)"
"(400, 401)"
"(401, 527)"
"(405, 408)"
"(408, 238)"
"(411, 61)"
"(412, 584)"
"(413, 523)"
"(414, 400)"
"(417, 493)"
"(418, 583)"
"(420, 648)"
"(424, 314)"
"(425, 34)"
"(427, 506)"
"(433, 185)"
"(434, 638)"
"(435, 176)"
"(438, 445)"
"(439, 27)"
"(443, 210)"
"(445, 380)"
"(452, 538)"
"(454, 89)"
"(455, 481)"
"(458, 627)"
"(459, 234)"
"(462, 479)"
"(463, 367)"
"(468, 564)"
"(471, 663)"
"(472, 458)"
"(475, 95)"
"(478, 454)"
"(479, 396)"
"(480, 439)"
"(481, 494)"
"(482, 507)"
"(483, 665)"
"(484, 356)"
"(486, 501)"
"(493, 377)"
"(494, 480)"
"(497, 63)"
"(500, 709)"
"(501, 252)"
"(502, 259)"
"(503, 62)"
"(505, 425)"
"(506, 192)"
"(507, 355)"
"(508, 260)"
"(510, 93)"
"(517, 614)"
"(519, 336)"
"(522, 88)"
"(523, 581)"
"(524, 48)"
"(525, 141)"
"(526, 519)"
"(527, 157)"
"(528, 216)"
"(529, 322)"
"(531, 77)"
"(532, 681)"
"(533, 522)"
"(536, 101)"
"(538, 593)"
"(540, 573)"
"(541, 11)"
"(542, 217)"
"(543, 478)"
"(544, 329)"
"(546, 31)"
"(547, 361)"
"(549, 280)"
"(550, 418)"
"(556, 483)"
"(558, 625)"
"(559, 417)"
"(564, 357)"
"(566, 580)"
"(567, 235)"
"(571, 162)"
"(572, 567)"
"(573, 91)"
"(575, 197)"
"(580, 232)"
"(581, 381)"
"(582, 135)"
"(583, 463)"
"(584, 209)"
"(591, 22)"
"(593, 642)"
"(594, 55)"
"(599, 559)"
"(600, 13)"
"(604, 558)"
"(606, 125)"
"(609, 497)"
"(612, 667)"
"(613, 399)"
"(614, 640)"
"(617, 613)"
"(619, 87)"
"(624, 97)"
"(625, 38)"
"(626, 164)"
"(627, 12)"
"(628, 566)"
"(630, 188)"
"(636, 414)"
"(638, 547)"
"(639, 221)"
"(640, 700)"
"(641, 651)"
"(642, 224)"
"(644, 435)"
"(648, 76)"
"(650, 142)"
"(651, 16)"
"(657, 290)"
"(658, 531)"
"(660, 443)"
"(661, 198)"
"(663, 433)"
"(665, 70)"
"(667, 69)"
"(671, 118)"
"(672, 393)"
"(673, 604)"
"(674, 295)"
"(675, 337)"
"(678, 79)"
"(680, 690)"
"(681, 60)"
"(685, 689)"
"(688, 231)"
"(689, 108)"
"(690, 212)"
"(694, 248)"
"(697, 528)"
"(699, 81)"
"(700, 502)"
"(702, 289)"
"(703, 219)"
"(705, 556)"
"(706, 127)"
"(707, 257)"
"(708, 500)"
"(709, 540)"
"(710, 158)"
"(711, 83)"
"(713, 599)"
"(714, 532)"
"(717, 301)"
"(719, 120)"
"(720, 184)"
